slug,name,category,category_id,category_label,artifact_type,catalog_status,lifecycle,description,best_for,use_cases,ecosystems,capabilities,license,pricing,installation,supported_php,website,repository,packagist,latest_version,latest_release_tag,stars,repo_updated_at,reviewed_at,successor_of,supersedes
php7mar,php7mar,Bugs finders,bug-finders,Bug finders,,historical,Historical,PHP 7 Migration Assistant Report (MAR),,,,,,,composer require --dev alexia/php7mar,>=5.4.0,https://github.com/Alexia/php7mar,https://github.com/Alexia/php7mar,https://packagist.org/packages/alexia/php7mar,v0.2.0-beta,v0.2.0-beta,781,2019-05-28T11:33:19Z,,,
phpactor,Phpactor,Fixers,fixers,Fixers and refactoring,extension,current,Active,Mainly a PHP Language Server with more features than you can shake a stick at,,refactoring|editor-assistance,language-server,,,,composer require --dev phpactor/phpactor,^8.2,https://github.com/phpactor/phpactor,https://github.com/phpactor/phpactor,https://packagist.org/packages/phpactor/phpactor,2026.07.22.0,2026.07.22.0,1909,2026-08-01T15:32:44Z,2026-08-08,,
phparkitect,PHPArkitect,Architecture rules,architecture-rules,Architecture rules,analyzer,current,Active,Put your architectural rules under test!,,architecture,generic,,,,composer require --dev phparkitect/phparkitect,^8.0,https://github.com/phparkitect/arkitect,https://github.com/phparkitect/arkitect,https://packagist.org/packages/phparkitect/phparkitect,1.3.0,1.3.0,924,2026-07-31T08:17:24Z,2026-08-08,,
phpcodeanalyzer,PhpCodeAnalyzer,Bugs finders,bug-finders,Bug finders,,historical,Historical,"Really, it's ""php extensions usage analyzer"". It scans codebase and analyzes which non-built-in php extensions used",,,,,,,,,https://github.com/wapmorgan/PhpCodeAnalyzer.git,https://github.com/wapmorgan/PhpCodeAnalyzer,,,1.0.6,96,2023-01-17T00:23:31Z,,,
phpcodearcheology,PhpCodeArcheology,Metrics,metrics,Metrics and architecture,metrics,current,Active,"PHP static analysis for architecture & maintainability — 60+ metrics, complexity analysis, dependency graphs, git churn hotspots, and AI-ready MCP server. Alternative to PHPMetrics.",,metrics|dependency-analysis|churn,git,,,,,,https://phpcodearcheology.github.io,https://github.com/PhpCodeArcheology/PhpCodeArcheology,,,v2.11.2,87,2026-08-01T07:45:11Z,2026-08-08,,
phpcodefixer,PHPCodeFixer,Bugs finders,bug-finders,Bug finders,,historical,Historical,Analyzer of PHP code to search issues with deprecated functionality in newer interpreter versions.,,,,,,,,,https://github.com/wapmorgan/PhpCodeFixer,https://github.com/wapmorgan/PhpDeprecationDetector,,,2.0.33,367,2024-02-14T12:40:26Z,,,
phpcpd,PHPCPD,Bugs finders,bug-finders,Bug finders,,historical,Historical,Copy/Paste Detector (CPD) for PHP code.,,,,,,,composer require --dev sebastian/phpcpd,>=7.3,https://github.com/sebastianbergmann/phpcpd,https://github.com/sebastianbergmann/phpcpd,https://packagist.org/packages/sebastian/phpcpd,6.0.3,,2211,2023-01-10T12:50:42Z,,,
phpcsstandards-php-codesniffer,PHP_CodeSniffer,Coding standards,coding-standards,Coding standards,analyzer,current,Active,PHP_CodeSniffer tokenizes PHP files and detects violations of a defined set of coding standards.,,code-style,phpcs,,,,composer require --dev phpcsstandards/php_codesniffer,>=7.2.0,https://github.com/PHPCSStandards/PHP_CodeSniffer,https://github.com/PHPCSStandards/PHP_CodeSniffer,https://packagist.org/packages/phpcsstandards/php_codesniffer,4.0.4,4.0.4,1541,2026-08-06T03:16:34Z,2026-08-08,php-code-sniffer,
phpdependencyanalysis,PhpDependencyAnalysis,Metrics,metrics,Metrics and architecture,,historical,Historical,Static code analysis to find violations in a dependency graph,,,,,,,,,https://github.com/mamuz/PhpDependencyAnalysis,https://github.com/mamuz/PhpDependencyAnalysis,,,v2.0.2,576,2023-12-03T20:43:10Z,,,
phpdoc-parser,PHPStan PHPDoc Parser,DIY,libraries-building-blocks,Libraries and building blocks,library,current,Active,"PHPDoc parser with support for nullable, intersection, generic, and other advanced types.",Analyzer and documentation-tool authors who need a maintained PHPDoc AST.,documentation-parsing|type-resolution,phpstan,phpdoc-ast|generic-types|intersection-types,MIT,Free and open source,composer require phpstan/phpdoc-parser,PHP 7.4 or PHP 8.x,https://github.com/phpstan/phpdoc-parser,https://github.com/phpstan/phpdoc-parser,https://packagist.org/packages/phpstan/phpdoc-parser,2.3.3,2.3.3,1531,2026-07-27T01:25:36Z,2026-08-08,,
phpdoc-to-typehint,phpdoc to typehint,Fixers,fixers,Fixers and refactoring,,historical,Historical,Add scalar type hints and return types to existing PHP projects using PHPDoc annotations,,,,,,,composer require --dev dunglas/phpdoc-to-typehint,>=7.0.0,https://github.com/dunglas/phpdoc-to-typehint,https://github.com/dunglas/phpdoc-to-typehint,https://packagist.org/packages/dunglas/phpdoc-to-typehint,v0.1.0,v0.1.0,225,2020-12-28T22:25:46Z,,,
phpdoctor,PHPDoctor,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,"🏥 PHPDoctor: Check files, full directories or strings for missing or bad PHPDoc types.",,documentation|type-analysis,generic,,,,composer require --dev voku/phpdoctor,>=8.1,https://github.com/voku/PHPDoctor,https://github.com/voku/PHPDoctor,https://packagist.org/packages/voku/phpdoctor,0.8.0,0.8.0,53,2026-07-10T18:10:30Z,2026-08-08,,
phpinsights,PHPInsights,Metrics,metrics,Metrics and architecture,metrics,current,Active,🔰 Instant PHP quality checks from your console,,code-quality|metrics|architecture,laravel|symfony|generic,,,,composer require --dev nunomaduro/phpinsights,^8.3,https://nunomaduro.github.io/phpinsights/,https://github.com/nunomaduro/phpinsights,https://packagist.org/packages/nunomaduro/phpinsights,v2.14.2,v2.14.2,5626,2026-08-04T15:14:22Z,2026-08-08,,
phploc,PHPLOC,Metrics,metrics,Metrics and architecture,,historical,Historical,A tool for quickly measuring the size of a PHP project.,,,,,,,composer require --dev phploc/phploc,>=7.3,https://github.com/sebastianbergmann/phploc,https://github.com/sebastianbergmann/phploc,https://packagist.org/packages/phploc/phploc,7.0.2,,2343,2025-04-12T05:04:58Z,,,
phpqa,PHPQA,Misc,misc,Specialized tools,orchestrator,current,Inactive,Analyze PHP code with one command,,quality-gates,composer,,,,composer require --dev edgedesign/phpqa,>=5.4,https://edgedesigncz.github.io/phpqa/,https://github.com/EdgedesignCZ/phpqa,https://packagist.org/packages/edgedesign/phpqa,v1.27.2,v1.27.2,564,2025-11-22T07:45:23Z,2026-08-08,,
phpstan-dba,phpstan-dba,Bugs finders,bug-finders,Bug finders,extension,current,Active,PHPStan extension for static SQL validation and database result type inference.,PHP applications that want SQL errors and database access-layer type problems caught during PHPStan analysis.,sql-analysis|type-analysis,phpstan|database,sql-validation|result-type-inference|placeholder-analysis,MIT,Free and open source,composer require --dev staabm/phpstan-dba,^7.4 || ^8.0,https://github.com/staabm/phpstan-dba,https://github.com/staabm/phpstan-dba,https://packagist.org/packages/staabm/phpstan-dba,0.4.9,0.4.9,296,2026-07-29T14:59:24Z,2026-08-08,,
phpstan-deprecation-rules,PHPStan Deprecation Rules,Bugs finders,bug-finders,Bug finders,ruleset,current,Active,"PHPStan rules that detect use of deprecated classes, functions, methods, properties, constants, and traits.",Applications and libraries preventing new deprecated API usage during upgrades.,deprecation-detection|upgrade,phpstan,phpdoc-deprecations|stub-deprecations|custom-deprecation-markers,MIT,Free and open source,composer require --dev phpstan/phpstan-deprecation-rules,^7.4 || ^8.0,https://github.com/phpstan/phpstan-deprecation-rules,https://github.com/phpstan/phpstan-deprecation-rules,https://packagist.org/packages/phpstan/phpstan-deprecation-rules,2.0.5,2.0.5,458,2026-08-04T19:04:52Z,2026-08-08,,
phpstan-strict-rules,PHPStan Strict Rules,Bugs finders,bug-finders,Bug finders,ruleset,current,Active,Extra strict and opinionated rules maintained for PHPStan.,Teams that have adopted PHPStan and want stronger correctness constraints than the default configuration.,type-analysis|bug-detection,phpstan,strict-rules|phpstan-extension-installer,MIT,Free and open source,composer require --dev phpstan/phpstan-strict-rules,^7.4 || ^8.0,https://github.com/phpstan/phpstan-strict-rules,https://github.com/phpstan/phpstan-strict-rules,https://packagist.org/packages/phpstan/phpstan-strict-rules,2.0.12,2.0.12,704,2026-08-04T20:45:50Z,2026-08-08,,
phpstan-symfony,PHPStan Symfony,Bugs finders,bug-finders,Bug finders,extension,current,Active,Official Symfony framework extension and rules for PHPStan.,"Symfony applications that need PHPStan to understand containers, console commands, forms, Messenger, and framework return types.",type-analysis|bug-detection,phpstan|symfony,container-type-inference|service-validation|console-input-validation|messenger-type-inference,MIT,Free and open source,composer require --dev phpstan/phpstan-symfony,^7.4 || ^8.0,https://github.com/phpstan/phpstan-symfony,https://github.com/phpstan/phpstan-symfony,https://packagist.org/packages/phpstan/phpstan-symfony,2.0.20,2.0.20,792,2026-08-04T15:50:15Z,2026-08-08,,
progpilot,Progpilot,Bugs finders,bug-finders,Bug finders,analyzer,current,Inactive,A static analysis tool for security,,security|taint-analysis,generic,,,,composer require --dev designsecurity/progpilot,>=8.3,https://github.com/designsecurity/progpilot,https://github.com/designsecurity/progpilot,https://packagist.org/packages/designsecurity/progpilot,v1.3.0,v1.3.0,365,2025-08-17T18:31:51Z,2026-08-08,,
psalm,psalm,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,A PHP static analysis tool for finding errors and security vulnerabilities in PHP applications,,bug-detection|type-analysis|security|taint-analysis,psalm,,,,composer require --dev vimeo/psalm,~8.1.31 || ~8.2.27 || ~8.3.16 || ~8.4.3 || ~8.5.0,https://psalm.dev,https://github.com/vimeo/psalm,https://packagist.org/packages/vimeo/psalm,6.16.1,6.16.1,5876,2026-07-13T07:42:30Z,2026-08-08,,
psecio-parse,psecio:parse,Bugs finders,bug-finders,Bug finders,,historical,Historical,Parse: A Static Security Scanner,,,,,,,composer require --dev psecio/parse,>=5.4,https://github.com/psecio/parse.git,https://github.com/psecio/parse,https://packagist.org/packages/psecio/parse,0.8,,380,2018-08-07T08:33:28Z,,,
qlty,Qlty,Misc,misc,Specialized tools,orchestrator,current,Active,"Universal CLI and cloud platform for linting, formatting, maintainability, security scanning, metrics, and coverage.","Polyglot teams that want one local and CI workflow around PHPStan, PHPCS, PHP-CS-Fixer, Semgrep, and other tools.",code-quality|security|code-style|metrics|test-coverage,generic|php,linter-orchestration|autofix|maintainability|security-scanning|code-coverage|quality-metrics,Business Source License 1.1 with delayed open-source publication,Qlty CLI is free for all use; Qlty Cloud has separate service plans.,Install a native Qlty CLI binary using the official installer or release archive.,PHP 5+ for maintainability and coverage; individual plugins have their own requirements.,https://qlty.sh/,https://github.com/qltysh/qlty,,,v0.641.0,3114,2026-08-04T12:49:09Z,2026-08-08,code-climate,
qodana-php,Qodana for PHP,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,"JetBrains code-quality platform for PHP projects, based on PhpStorm inspections.",PhpStorm-grade PHP inspections and quality gates in CI,code-quality|security|quality-gates,jetbrains,,,,,,https://www.jetbrains.com/qodana/,,,,,0,,2026-08-08,,
quality-analyzer,Quality Analyzer,Metrics,metrics,Metrics and architecture,,historical,Historical,Tool helping us to analyze software projects,,,,,,,,,https://github.com/Qafoo/QualityAnalyzer.git,https://github.com/Qafoo/QualityAnalyzer,https://packagist.org/packages/qafoo/quality-analyzer,,,490,2019-12-06T12:45:14Z,,,
rector,Rector,Fixers,fixers,Fixers and refactoring,fixer,current,Active,Instant Upgrades and Automated Refactoring of any PHP 5.3+ code,,refactoring|upgrade|autofix,rector,,,,composer require --dev rector/rector,^7.4|^8.0,https://github.com/rectorphp/rector,https://github.com/rectorphp/rector,https://packagist.org/packages/rector/rector,2.6.1,2.6.1,10397,2026-08-06T23:28:56Z,2026-08-08,,
reflection,Reflection,DIY,libraries-building-blocks,Libraries and building blocks,library,current,Active,Reflection library to do Static Analysis for PHP Projects,,source-reflection|type-resolution,phpdocumentor,,,,composer require phpdocumentor/reflection,8.2.*|8.3.*|8.4.*|8.5.*,https://github.com/phpDocumentor/Reflection.git,https://github.com/phpDocumentor/Reflection,https://packagist.org/packages/phpdocumentor/reflection,7.0.0,7.0.0,125,2026-07-30T08:44:36Z,2026-08-08,,
rips,RIPS,SaaS,hosted-services,Hosted analysis services,hosted-service,historical,Historical,Historical PHP security analyzer acquired by SonarSource in 2020 and integrated into SonarQube.,,security|sast,generic,,,,,,https://www.sonarsource.com/blog/sonarsource-acquires-rips-technologies/,,,,,0,,2026-08-08,,
roave-backward-compatibility-check,Roave Backward Compatibility Check,Misc,misc,Specialized tools,analyzer,current,Active,Compares two revisions of a PHP library API and reports backward-compatibility breaks.,Library maintainers enforcing semantic-versioning compatibility in CI.,api-compatibility|release-management,composer,api-diff|ci-exit-code|github-actions-output|markdown-output,MIT,Free and open source,composer require --dev roave/backward-compatibility-check,~8.4.0 || ~8.5.0,https://github.com/Roave/BackwardCompatibilityCheck,https://github.com/Roave/BackwardCompatibilityCheck,https://packagist.org/packages/roave/backward-compatibility-check,8.21.0,8.21.0,601,2026-08-08T04:51:49Z,2026-08-08,,
scrutinizer,Scrutinizer,SaaS,hosted-services,Hosted analysis services,,historical,Historical,The retired Scrutinizer service provided continuous inspection for automated code-quality and bug detection.,,,,,,,,,https://scrutinizer-ci.com/,https://github.com/scrutinizer-ci/scrutinizer,,,,138,2017-01-05T10:04:00Z,,,
semgrep,Semgrep,Misc,misc,Specialized tools,analyzer,current,Active,Lightweight static analysis for many languages. Find bug variants with patterns that look like source code.,,security|custom-rules,generic,,,,,,https://semgrep.dev,https://github.com/semgrep/semgrep,,,v1.172.0,16138,2026-08-07T01:13:57Z,2026-08-08,,
shipmonk-dead-code-detector,ShipMonk Dead Code Detector,Bugs finders,bug-finders,Bug finders,extension,current,Active,"PHPStan extension that finds unused PHP members, dead cycles, and code used only by tests.",Large PHP applications that need framework-aware dead-code detection and optional removal.,dead-code|autofix,phpstan|symfony|laravel,dead-member-detection|dead-cycle-detection|test-only-code-detection|automatic-removal|framework-usage-providers,MIT,Free and open source,composer require --dev shipmonk/dead-code-detector,1.x requires PHP 8.1+; 0.x supports PHP 7.4–8.5,https://github.com/shipmonk-rnd/dead-code-detector,https://github.com/shipmonk-rnd/dead-code-detector,https://packagist.org/packages/shipmonk/dead-code-detector,1.3.3,1.3.3,501,2026-08-07T09:22:02Z,2026-08-08,,
sideci,SideCI,SaaS,hosted-services,Hosted analysis services,,historical,Historical,Retired continuous-integration service for automated code review and static analysis.,,,,,,,,,https://github.com/sideci,,,,,0,,,,
skylos,Skylos,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,"Open source local-first PR scanner that finds dead code, security bugs, secrets, quality regressions, and AI-code mistakes before merge. For first timers refer to https://duriantaco.github.io/skylos/repo-map/",Local pull-request scanning for dead code and security issues,dead-code|security|pull-request-review,generic,,,,,,https://skylos.dev/,https://github.com/duriantaco/skylos,,,v4.33.1,488,2026-08-07T02:06:09Z,2026-08-08,,
slevomat-coding-standard,Slevomat Coding Standard,Coding standards,coding-standards,Coding standards,ruleset,current,Active,"Large PHP_CodeSniffer ruleset covering functional safety, dead-code cleanup, and formatting.","Teams building a strict, project-specific PHPCS standard with many automatically fixable rules.",code-style|bug-detection|dead-code,phpcs,functional-sniffs|dead-code-sniffs|formatting-sniffs|autofix,MIT,Free and open source,composer require --dev slevomat/coding-standard,^7.4 || ^8.0,https://github.com/slevomat/coding-standard,https://github.com/slevomat/coding-standard,https://packagist.org/packages/slevomat/coding-standard,8.31.1,8.31.1,1480,2026-07-31T11:07:02Z,2026-08-08,,
snyk-code,Snyk Code,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,A hosted security platform with static application security testing for PHP.,Security-focused PHP static application security testing,security|sast,generic,,,,,,https://snyk.io/code-checker/php/,,,,,0,,2026-08-08,,
sonarqube,SonarQube PHP,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,The SonarPHP analyzer that powers PHP code-quality and security analysis in SonarQube and SonarQube for IDE.,PHP quality and security analysis in the SonarQube ecosystem,code-quality|security,sonarqube,,,,,,https://www.sonarsource.com/products/sonarqube/,https://github.com/SonarSource/sonar-php,,,3.60.0.16641,430,2026-08-06T09:42:43Z,2026-08-08,rips,
sonarqube-cloud,SonarQube Cloud,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,Sonar's hosted code-quality and security analysis service with first-class PHP support.,"Hosted PHP quality gates, maintainability checks, and security analysis",code-quality|security|quality-gates,sonarqube,,,,,,https://www.sonarsource.com/products/sonarqube/cloud/,,,,,0,,2026-08-08,,
static-analysis-results-baseliner,Static Analysis Results Baseliner,Misc,misc,Specialized tools,orchestrator,current,Active,Static Analysis Results Baseliner,,baseline-management,generic,,,,composer require --dev dave-liddament/sarb,>=8.2 <8.6,https://github.com/DaveLiddament/sarb,https://github.com/DaveLiddament/sarb,https://packagist.org/packages/dave-liddament/sarb,1.11.0,1.11.0,165,2026-07-12T08:42:09Z,2026-08-08,,
tlint,TLint,Coding standards,coding-standards,Coding standards,ruleset,current,Quiet,Tighten linter for Laravel conventions.,,code-style,laravel,,,,composer require --dev tightenco/tlint,>=8.1,https://github.com/tighten/tlint,https://github.com/tighten/tlint,https://packagist.org/packages/tightenco/tlint,v9.6.1,v9.6.1,526,2026-04-30T16:27:48Z,2026-08-08,,
transphpile,Transphpile,Fixers,fixers,Fixers and refactoring,,historical,Historical,PHP 7 to PHP 5.6 Transpiler,,,,,,,,,https://github.com/jaytaph/Transphpile,https://github.com/jaytaph/Transphpile,,,,178,2017-09-02T00:24:19Z,,,
wordpress-coding-standards,WordPress Coding Standards,Coding standards,coding-standards,Coding standards,ruleset,current,Active,Official PHP_CodeSniffer rules that enforce WordPress PHP coding conventions.,"WordPress core, plugin, and theme projects enforcing ecosystem conventions in CI.",code-style|wordpress-compatibility,phpcs|wordpress,wordpress-core-rules|wordpress-extra-rules|documentation-rules|autofix,MIT,Free and open source,composer require --dev wp-coding-standards/wpcs,>=7.2,https://github.com/WordPress/WordPress-Coding-Standards,https://github.com/WordPress/WordPress-Coding-Standards,https://packagist.org/packages/wp-coding-standards/wpcs,3.4.1,3.4.1,2821,2026-08-06T23:54:08Z,2026-08-08,,
